League,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
2005-2006 NBA NBA Summer League Stats,Brian Boddicker,NJN,.917,.917,133.3,19.2,-,10.4,-,14.3,-,-,26.4,-7.7,1.8,154.0,121.3,32.7,6.0,47.8
2005-2006 NBA NBA Summer League Stats,John Allen,DET,.833,.800,160.0,6.9,14.2,10.5,-,-,2.9,-,18.5,-,2.4,174.0,90.7,83.3,9.9,42.2
2005-2006 NBA NBA Summer League Stats,Dwight Howard,ORL,.655,.638,127.8,19.9,17.2,18.4,6.9,17.1,1.6,4.8,31.8,-9.8,1.6,117.8,100.7,17.1,46.1,38.5
2005-2006 NBA NBA Summer League Stats,Ousmane Cisse,WAS,.850,.800,180.0,20.2,4.3,11.6,-,-,2.0,5.5,10.0,-,2.0,185.3,107.4,77.9,12.8,33.1
2005-2006 NBA NBA Summer League Stats,Pavel Milos,DET,.750,.750,100.0,-,-,-,-,20.0,-,-,47.8,-19.9,1.5,113.5,106.8,6.7,-,30.5
2005-2006 NBA NBA Summer League Stats,Olumide Oyedeji,CLE,.636,.618,123.7,16.3,25.5,21.0,4.8,6.5,0.4,2.6,17.8,-0.8,1.6,136.5,85.2,51.3,54.6,30.1
2005-2006 NBA NBA Summer League Stats,Ike Diogu,GSW,.653,.593,143.9,13.6,22.2,17.9,1.4,14.6,-,1.4,24.4,-7.3,1.6,123.7,104.9,18.8,52.0,29.4
2005-2006 NBA NBA Summer League Stats,Jason Maxiell,DET,.558,.528,211.9,6.7,10.7,8.7,4.8,5.6,2.0,5.3,24.6,-1.5,1.4,115.2,96.0,19.2,43.5,28.6
2005-2006 NBA NBA Summer League Stats,Mire Chatman,LAC,.902,1.000,150.0,-,11.7,5.5,16.7,34.0,4.2,-,22.1,-10.6,2.3,114.1,92.6,21.5,3.3,28.1
2005-2006 NBA NBA Summer League Stats,Ryan Gomes,BOS,.665,.596,154.0,8.4,24.3,16.6,4.4,14.1,0.4,-,20.1,-5.0,1.6,127.7,88.5,39.2,50.0,28.1
2005-2006 NBA NBA Summer League Stats,Chris Kaman,LAC,.599,.542,136.3,9.1,25.8,17.1,1.7,20.7,0.7,3.8,30.5,-13.1,1.4,102.3,93.4,8.9,49.8,27.8
2005-2006 NBA NBA Summer League Stats,Maciej Lampe,NOP,.514,.469,115.4,11.5,26.2,18.4,5.6,8.0,1.8,1.9,23.9,-2.6,1.2,110.1,97.4,12.6,45.6,27.4
2005-2006 NBA NBA Summer League Stats,David Lee,NYK,.648,.567,126.9,11.8,22.6,17.0,7.8,14.7,0.5,-,20.7,-4.0,2.0,127.2,100.9,26.3,39.6,27.2
2005-2006 NBA NBA Summer League Stats,Nate Robinson,NYK,.589,.516,171.4,4.4,12.0,8.1,14.0,17.5,2.6,-,28.6,-6.5,1.5,113.3,99.7,13.6,38.6,27.0
2005-2006 NBA NBA Summer League Stats,Tony Allen,BOS,.615,.566,180.9,4.5,11.8,8.2,7.2,18.8,3.4,1.0,25.4,-8.5,1.5,110.7,86.8,23.9,45.3,26.7
2005-2006 NBA NBA Summer League Stats,Travis Diener,ORL,.652,.589,184.9,5.4,18.9,12.4,28.4,12.9,1.4,-,15.2,7.1,1.6,136.1,99.9,36.2,49.4,26.2
2005-2006 NBA NBA Summer League Stats,Linas Kleiza,DEN,.617,.541,140.3,8.8,22.1,15.3,7.9,16.0,1.9,0.5,23.5,-5.4,1.5,116.9,98.8,18.2,50.9,26.0
2005-2006 NBA NBA Summer League Stats,Sebastian Telfair,POR,.532,.433,144.4,1.8,11.4,6.8,35.8,14.6,1.8,0.4,27.9,2.9,1.4,106.6,94.5,12.1,66.9,25.9
2005-2006 NBA NBA Summer League Stats,Luis Flores,DEN,.554,.486,154.5,3.6,13.3,8.3,6.5,13.5,2.8,0.5,28.7,-6.3,1.3,107.8,99.0,8.8,37.3,25.4
2005-2006 NBA NBA Summer League Stats,Alex Acker,DET,.602,.582,171.6,1.8,13.0,7.4,9.1,7.7,2.3,-,21.4,-0.7,1.3,118.6,98.1,20.5,40.6,25.3
2005-2006 NBA NBA Summer League Stats,Jamal Sampson,WAS,.619,.625,112.5,25.7,22.0,23.9,-,25.3,-,8.3,15.6,-8.9,1.4,111.4,104.6,6.8,14.3,25.0
2005-2006 NBA NBA Summer League Stats,J.R. Smith,NOP,.539,.506,139.3,2.0,7.6,4.6,18.5,13.6,2.6,1.3,29.4,-3.4,1.3,104.7,101.2,3.6,43.4,25.0
2005-2006 NBA NBA Summer League Stats,Henry Domercant,WAS,.563,.536,184.5,1.8,14.2,8.1,18.7,8.8,0.8,-,22.7,1.5,1.3,122.0,105.6,16.4,17.9,24.6
2005-2006 NBA NBA Summer League Stats,David Bailey,CHI,.581,.500,182.8,2.6,9.8,6.1,32.9,21.6,3.5,-,20.0,3.3,1.4,112.1,100.5,11.6,30.1,24.4
2005-2006 NBA NBA Summer League Stats,Gerald Fitch,WAS,.561,.510,160.5,5.0,13.3,9.2,13.0,15.6,1.7,0.6,25.3,-4.5,1.3,110.6,102.5,8.1,33.3,24.3
2005-2006 NBA NBA Summer League Stats,John Lucas,CLE,.560,.560,56.0,4.5,4.8,4.6,12.9,10.7,-,-,24.2,-0.6,1.1,116.8,98.6,18.1,12.3,24.1
2005-2006 NBA NBA Summer League Stats,Taylor Coppenrath,BOS,.669,.591,133.0,13.5,12.6,13.0,3.7,11.1,-,-,16.5,-2.7,2.0,136.3,93.7,42.6,26.4,23.9
2005-2006 NBA NBA Summer League Stats,D.J. Mbenga,DAL,.729,.750,125.0,10.0,22.8,16.8,4.1,20.9,0.5,10.2,12.1,-4.4,1.7,120.3,83.6,36.6,44.0,23.8
2005-2006 NBA NBA Summer League Stats,Tyus Edney,DEN,.724,.711,202.6,6.1,5.4,5.8,12.6,24.6,2.7,-,19.4,-5.9,1.6,117.0,101.0,16.0,37.1,23.6
2005-2006 NBA NBA Summer League Stats,Mike Harris,DAL,.627,.537,177.5,7.6,15.8,11.9,10.4,8.4,0.5,1.5,15.6,0.3,1.5,135.8,87.7,48.0,32.4,23.4
2005-2006 NBA NBA Summer League Stats,Sam Clancy,NJN,.547,.460,116.0,8.1,20.1,13.8,3.1,14.0,0.7,2.7,24.8,-6.6,1.5,106.0,108.3,-2.4,38.0,23.4
2005-2006 NBA NBA Summer League Stats,Marquis Daniels,DAL,.444,.379,112.9,10.0,9.8,9.9,22.3,12.6,3.7,0.6,30.3,-2.3,1.0,99.3,84.0,15.3,31.8,22.8
2005-2006 NBA NBA Summer League Stats,Channing Frye,NYK,.577,.432,139.6,12.2,18.2,15.1,4.5,17.6,0.4,1.9,24.7,-8.1,1.5,114.2,100.7,13.6,26.3,22.2
2005-2006 NBA NBA Summer League Stats,Bateer Mengke,CHI,.731,.731,119.2,8.1,11.0,9.6,4.4,13.3,1.2,-,14.9,-3.0,1.5,132.6,100.9,31.7,11.3,22.1
2005-2006 NBA NBA Summer League Stats,Blake Stepp,CLE,.606,.577,179.3,1.2,11.4,6.4,17.2,17.6,3.1,-,23.0,-3.0,1.3,113.2,87.0,26.2,25.1,21.9
2005-2006 NBA NBA Summer League Stats,Patrick Okafor,SAC,.781,.857,119.0,9.2,8.9,9.1,7.3,26.5,1.9,2.8,19.0,-8.5,1.9,114.7,95.6,19.0,5.1,21.9
2005-2006 NBA NBA Summer League Stats,Ime Udoka,CLE,.632,.604,195.8,6.3,13.3,9.9,9.2,19.3,3.3,-,17.3,-3.8,1.5,114.5,85.2,29.3,28.8,21.7
2005-2006 NBA NBA Summer League Stats,Ron Slay,PHX,.654,.515,156.9,3.6,18.2,10.8,8.1,20.7,1.8,0.7,23.7,-8.0,1.8,111.3,97.9,13.4,21.6,21.7
2005-2006 NBA NBA Summer League Stats,Eddie Basden,CHI,.537,.471,144.2,9.7,11.1,10.4,6.9,16.6,2.8,0.5,23.0,-6.0,1.3,105.6,101.2,4.4,38.0,21.7
2005-2006 NBA NBA Summer League Stats,Boniface Ndong,DEN,.602,.541,139.8,4.8,23.9,14.0,11.2,18.8,1.4,2.1,21.0,-4.6,1.4,110.1,98.2,11.9,29.8,21.5
2005-2006 NBA NBA Summer League Stats,Roger Powell,DAL,.733,.833,222.2,-,9.9,5.3,9.4,-,-,1.7,12.4,2.8,2.1,151.4,93.1,58.3,11.4,21.4
2005-2006 NBA NBA Summer League Stats,Donell Taylor,WAS,.645,.596,164.9,5.8,5.0,5.4,3.5,21.4,2.5,0.9,20.1,-8.3,1.6,111.2,104.9,6.3,31.9,21.2
2005-2006 NBA NBA Summer League Stats,Matt Freije,CLE,.532,.500,138.5,4.8,10.8,7.9,7.5,5.6,1.4,1.0,21.8,-,1.2,118.7,89.0,29.7,16.9,21.1
2005-2006 NBA NBA Summer League Stats,Jeff Varem,CLE,.636,.619,123.4,14.3,18.3,16.3,5.1,15.8,1.5,0.8,14.2,-3.0,1.6,123.3,86.4,36.9,32.4,21.1
2005-2006 NBA NBA Summer League Stats,Marquin Chandler,SAC,.500,.500,95.5,-,34.6,18.0,6.9,-,-,-,19.1,2.5,1.0,119.2,89.4,29.9,6.8,21.0
2005-2006 NBA NBA Summer League Stats,Elbert Fuqua,NYK,.500,.500,140.0,35.1,20.0,27.4,-,16.7,-,8.1,15.0,-5.6,1.0,120.3,97.8,22.5,6.5,21.0
2005-2006 NBA NBA Summer League Stats,Jerry Holman,DET,.633,.600,126.7,14.9,6.8,10.7,-,13.7,-,-,19.8,-5.7,1.6,120.1,98.5,21.6,3.4,20.7
2005-2006 NBA NBA Summer League Stats,Kevin Martin,SAC,.580,.507,172.7,2.2,14.2,8.3,8.5,21.6,1.5,0.9,28.1,-10.1,1.4,101.2,97.1,4.1,32.1,20.5
2005-2006 NBA NBA Summer League Stats,Leandro Barbosa,PHX,.535,.427,149.3,2.0,7.2,4.5,12.6,12.9,0.8,-,28.7,-4.7,1.3,103.2,97.1,6.1,17.0,20.2
2005-2006 NBA NBA Summer League Stats,Josh Powell,DAL,.573,.455,117.7,20.9,20.6,20.8,8.2,21.0,-,0.5,19.1,-6.2,1.7,110.9,91.0,19.9,42.8,20.1
2005-2006 NBA NBA Summer League Stats,Drago Pasalic,CHI,.519,.523,121.1,9.4,19.8,14.4,2.2,9.8,0.6,0.8,24.8,-4.8,1.1,107.5,102.2,5.3,18.6,20.0
