League,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2005-2006 NBA NBA Summer League Stats,J.R. Smith,NOP,5,32.8,20.6,7.0,16.2,.432,2.4,7.4,.324,4.2,6.6,.636,0.6,2.0,2.6,2.8,1.6,0.6,3.0,2.8
2005-2006 NBA NBA Summer League Stats,Chris Kaman,LAC,5,31.8,20.2,7.8,14.4,.542,0.0,0.2,.000,4.6,5.6,.821,2.4,6.2,8.6,0.2,0.4,1.6,4.4,4.4
2005-2006 NBA NBA Summer League Stats,Kevin Martin,SAC,5,39.2,19.4,6.6,14.0,.471,1.0,2.4,.417,5.2,6.2,.839,0.6,4.2,4.8,1.6,1.0,0.4,4.6,4.6
2005-2006 NBA NBA Summer League Stats,Dwight Howard,ORL,4,24.8,19.0,7.5,11.8,.638,0.0,0.0,.000,4.0,6.3,.640,3.8,3.8,7.5,0.8,0.8,1.5,3.0,5.8
2005-2006 NBA NBA Summer League Stats,Sebastian Telfair,POR,6,32.2,18.7,5.3,13.7,.390,1.2,4.2,.280,6.8,8.8,.774,0.5,3.5,4.0,6.0,1.2,0.2,3.0,2.8
2005-2006 NBA NBA Summer League Stats,Travis Outlaw,POR,6,35.3,18.7,6.8,16.0,.427,0.2,0.8,.200,4.8,8.0,.604,0.3,6.0,6.3,1.5,1.0,1.0,2.7,2.3
2005-2006 NBA NBA Summer League Stats,Ike Diogu,GSW,5,28.0,18.4,7.0,11.8,.593,0.0,0.0,.000,4.4,5.2,.846,3.2,5.2,8.4,0.2,0.0,0.6,2.4,5.4
2005-2006 NBA NBA Summer League Stats,Leandro Barbosa,PHX,4,34.8,18.0,5.5,13.8,.400,0.8,3.8,.200,6.3,7.0,.893,0.5,1.8,2.3,1.5,0.5,0.0,2.5,4.3
2005-2006 NBA NBA Summer League Stats,Nate Robinson,NYK,5,26.6,17.8,5.6,12.2,.459,1.4,3.0,.467,5.2,6.6,.788,1.0,2.6,3.6,2.0,1.4,0.0,3.2,3.2
2005-2006 NBA NBA Summer League Stats,Marquis Daniels,DAL,4,29.8,17.0,6.3,16.5,.379,0.0,1.3,.000,4.5,6.0,.750,2.5,2.8,5.3,3.0,2.3,0.3,2.8,3.5
2005-2006 NBA NBA Summer League Stats,Tony Allen,BOS,6,28.2,16.8,6.3,11.3,.559,0.2,0.3,.500,4.0,5.3,.750,1.0,2.8,3.8,1.0,1.8,0.3,3.2,3.8
2005-2006 NBA NBA Summer League Stats,Antoine Wright,NJN,5,35.0,16.4,5.4,15.0,.360,0.8,2.8,.286,4.8,7.4,.649,1.8,1.0,2.8,1.8,0.8,0.2,3.2,3.6
2005-2006 NBA NBA Summer League Stats,Monta Ellis,GSW,5,31.2,15.8,5.4,14.0,.386,2.0,5.0,.400,3.0,4.8,.625,0.6,2.4,3.0,2.6,1.0,0.0,3.6,3.6
2005-2006 NBA NBA Summer League Stats,Luis Flores,DEN,6,24.5,15.3,5.3,11.5,.464,0.5,1.7,.300,4.2,5.3,.781,0.7,2.3,3.0,0.8,1.3,0.2,2.2,2.2
2005-2006 NBA NBA Summer League Stats,Linas Kleiza,DEN,6,27.3,15.2,5.5,10.2,.541,0.0,0.3,.000,4.2,4.8,.862,1.8,4.3,6.2,1.2,1.0,0.2,2.3,4.7
2005-2006 NBA NBA Summer League Stats,Jason Maxiell,DET,5,26.8,15.0,5.6,10.8,.519,0.2,0.2,1.000,3.6,6.0,.600,1.4,2.2,3.6,0.6,1.0,1.8,0.8,3.2
2005-2006 NBA NBA Summer League Stats,Sam Clancy,NJN,5,29.0,14.8,4.6,10.0,.460,0.0,0.0,.000,5.6,8.0,.700,2.0,4.4,6.4,0.4,0.4,1.0,2.2,3.2
2005-2006 NBA NBA Summer League Stats,Alex Acker,DET,5,28.0,14.4,5.8,11.0,.527,1.2,2.6,.462,1.6,2.2,.727,0.4,2.8,3.2,1.2,1.2,0.0,1.0,2.2
2005-2006 NBA NBA Summer League Stats,Eddie Basden,CHI,5,29.0,14.0,4.6,10.4,.442,0.6,2.0,.300,4.2,6.0,.700,2.4,2.6,5.0,1.2,1.6,0.2,2.6,2.2
2005-2006 NBA NBA Summer League Stats,Zarko Cabarkapa,GSW,3,25.7,14.0,4.3,10.3,.419,0.0,2.0,.000,5.3,6.3,.842,0.7,3.0,3.7,1.7,0.3,0.0,4.3,4.0
2005-2006 NBA NBA Summer League Stats,Gerald Fitch,WAS,5,24.0,13.4,4.4,10.0,.440,1.4,3.2,.438,3.2,4.4,.727,1.0,2.8,3.8,1.6,0.8,0.2,2.2,2.2
2005-2006 NBA NBA Summer League Stats,Julius Hodge,DEN,6,33.0,13.3,4.7,10.7,.438,0.3,1.8,.182,3.7,5.8,.629,1.7,4.2,5.8,3.8,0.8,0.5,2.5,2.7
2005-2006 NBA NBA Summer League Stats,Channing Frye,NYK,5,23.0,13.0,3.8,8.8,.432,0.0,0.4,.000,5.4,5.6,.964,2.4,3.4,5.8,0.6,0.2,0.6,2.4,6.0
2005-2006 NBA NBA Summer League Stats,Donell Taylor,WAS,6,26.5,12.7,4.5,7.8,.574,0.3,1.0,.333,3.3,4.5,.741,1.3,1.2,2.5,0.5,1.3,0.3,2.7,3.0
2005-2006 NBA NBA Summer League Stats,Martell Webster,POR,6,32.8,12.7,4.3,11.2,.388,1.0,2.7,.375,3.0,4.0,.750,0.5,3.8,4.3,0.5,0.5,0.0,2.3,3.3
2005-2006 NBA NBA Summer League Stats,Francisco Garcia,SAC,5,36.0,12.4,4.2,12.0,.350,0.8,3.4,.235,3.2,3.6,.889,1.4,2.8,4.2,2.6,1.6,1.4,2.0,4.0
2005-2006 NBA NBA Summer League Stats,Ryan Gomes,BOS,6,22.5,12.2,4.7,7.8,.596,0.0,0.3,.000,2.8,3.0,.944,1.5,4.7,6.2,0.5,0.2,0.0,1.5,2.0
2005-2006 NBA NBA Summer League Stats,David Lee,NYK,5,21.8,12.0,3.4,6.0,.567,0.0,0.0,.000,5.2,7.4,.703,2.2,4.0,6.2,1.0,0.2,0.0,1.6,3.2
2005-2006 NBA NBA Summer League Stats,Roger Mason,ORL,5,26.2,12.0,3.6,9.6,.375,1.0,3.0,.333,3.8,4.2,.905,0.0,1.6,1.6,1.6,1.2,0.0,1.2,2.4
2005-2006 NBA NBA Summer League Stats,Maciej Lampe,NOP,5,22.8,11.8,4.6,9.8,.469,0.0,0.0,.000,2.6,3.8,.684,2.4,4.8,7.2,0.6,0.8,0.6,1.0,1.8
2005-2006 NBA NBA Summer League Stats,Chris Paul,NOP,4,34.5,11.8,4.3,11.5,.370,1.0,3.0,.333,2.3,3.8,.600,0.5,4.8,5.3,5.5,1.8,0.0,2.3,3.0
2005-2006 NBA NBA Summer League Stats,Justin Reed,BOS,6,26.5,11.7,3.5,8.7,.404,0.7,1.3,.500,4.0,4.8,.828,1.7,2.2,3.8,1.3,0.3,0.5,2.3,4.3
2005-2006 NBA NBA Summer League Stats,Luke Jackson,CLE,6,32.7,11.5,3.7,11.8,.310,1.2,3.7,.318,3.0,3.7,.818,0.8,4.5,5.3,4.0,0.5,0.0,2.5,3.0
2005-2006 NBA NBA Summer League Stats,Josh Powell,DAL,5,26.8,11.2,3.0,6.6,.455,0.0,0.0,.000,5.2,7.2,.722,4.6,5.2,9.8,1.2,0.0,0.2,2.6,4.6
2005-2006 NBA NBA Summer League Stats,Erik Daniels,SAC,5,30.0,11.2,5.0,8.6,.581,0.6,1.4,.429,0.6,1.0,.600,0.8,1.4,2.2,1.4,0.6,0.0,1.2,5.0
2005-2006 NBA NBA Summer League Stats,Jerome Beasley,ORL,5,20.4,11.0,4.6,9.2,.500,0.0,0.0,.000,1.8,3.4,.529,1.2,3.2,4.4,0.2,0.2,0.2,1.8,3.8
2005-2006 NBA NBA Summer League Stats,Brian Boddicker,NJN,1,13.0,11.0,5.0,6.0,.833,1.0,2.0,.500,0.0,0.0,.000,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
2005-2006 NBA NBA Summer League Stats,Felipe Lopez,DAL,5,22.0,10.6,3.2,8.6,.372,0.0,1.0,.000,4.2,5.2,.808,1.0,3.4,4.4,0.4,0.4,0.0,2.6,3.4
