League,Player,Team,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
2005-2006 NBA NBA Summer League Stats,Sebastian Telfair,POR,2,0,0,0,0,0,0,27,3,.412,2.0,0.4,0.6,3,3,.500,0.7,0.3,1.0
2005-2006 NBA NBA Summer League Stats,Chris Kaman,LAC,2,0,0,0,0,0,0,28,1,.320,0.0,0.1,0.4,2,3,.400,0.5,0.3,0.8
2005-2006 NBA NBA Summer League Stats,Josh Powell,DAL,2,0,0,0,0,0,0,19,0,.160,0.5,0.0,1.1,3,2,.600,0.4,0.3,0.7
2005-2006 NBA NBA Summer League Stats,Olumide Oyedeji,CLE,1,0,0,0,0,0,0,16,1,.144,1.0,0.3,0.6,6,0,1.000,0.7,0.4,1.1
2005-2006 NBA NBA Summer League Stats,Ike Diogu,GSW,1,0,0,0,0,0,0,37,1,.240,0.1,0.0,0.4,1,4,.200,0.9,0.0,0.9
2005-2006 NBA NBA Summer League Stats,Linas Kleiza,DEN,1,0,0,0,0,0,0,26,1,.225,0.5,0.4,0.5,3,3,.500,0.8,0.2,1.0
2005-2006 NBA NBA Summer League Stats,Ryan Gomes,BOS,1,0,0,0,0,0,0,16,0,.180,0.3,0.1,0.4,4,2,.667,0.8,0.4,1.1
2005-2006 NBA NBA Summer League Stats,Travis Diener,ORL,1,0,0,0,0,0,0,16,0,.228,4.0,0.6,0.5,3,2,.600,0.7,0.1,0.8
2005-2006 NBA NBA Summer League Stats,Travis Outlaw,POR,1,0,0,0,0,0,0,32,1,.303,0.6,0.4,0.5,3,3,.500,0.1,0.4,0.5
2005-2006 NBA NBA Summer League Stats,Maciej Lampe,NOP,1,0,0,0,0,0,0,15,1,.193,0.6,0.8,0.4,1,4,.200,0.4,0.1,0.6
2005-2006 NBA NBA Summer League Stats,Andray Blatche,WAS,1,0,0,0,0,1,0,13,1,.189,0.4,0.4,0.2,2,4,.333,-0.2,0.1,0.0
2005-2006 NBA NBA Summer League Stats,Channing Frye,NYK,1,0,0,0,0,0,0,16,0,.150,0.3,0.1,0.6,4,1,.800,0.5,0.1,0.6
2005-2006 NBA NBA Summer League Stats,Andris Biedrins,GSW,1,0,0,0,0,0,0,17,2,.113,0.2,0.1,0.7,1,4,.200,0.1,0.1,0.1
2005-2006 NBA NBA Summer League Stats,Kris Lang,POR,1,0,0,0,0,0,0,10,0,.127,0.7,0.3,0.3,3,3,.500,0.0,0.2,0.2
2005-2006 NBA NBA Summer League Stats,Nedzad Sinanovic,POR,1,0,0,0,0,0,0,10,1,.061,0.0,0.0,0.2,3,3,.500,0.0,0.2,0.2
2006-2007 NBA NBA Summer League Stats,James Singleton,LAC,5,0,0,0,0,0,0,23,0,.279,0.7,0.3,0.6,2,3,.400,0.6,0.4,1.0
2006-2007 NBA NBA Summer League Stats,David Lee,NYK,2,0,0,0,0,0,0,21,0,.245,0.9,1.0,0.5,4,1,.800,0.6,0.5,1.1
2006-2007 NBA NBA Summer League Stats,Brandon Hunter,CLE,2,0,0,0,0,0,0,18,0,.144,0.5,0.0,1.8,3,2,.600,0.1,0.3,0.4
2006-2007 NBA NBA Summer League Stats,Lou Amundson,SAC,2,0,0,0,0,0,0,16,0,.151,0.2,0.3,0.9,4,1,.800,0.2,0.4,0.6
2006-2007 NBA NBA Summer League Stats,Kris Humphries,TOR,2,0,0,0,0,0,0,19,0,.190,0.3,0.6,0.6,1,4,.200,0.0,0.2,0.2
2006-2007 NBA NBA Summer League Stats,John Lucas,HOU,1,0,0,0,0,0,0,26,0,.567,2.7,0.5,0.2,5,0,1.000,1.1,0.3,1.4
2006-2007 NBA NBA Summer League Stats,Rajon Rondo,BOS,1,0,0,0,0,0,0,14,0,.313,3.2,1.2,0.3,3,2,.600,0.5,0.2,0.8
2006-2007 NBA NBA Summer League Stats,Chuck Hayes,HOU,1,0,0,0,0,0,0,10,0,.120,0.7,0.1,0.7,5,0,1.000,0.3,0.4,0.7
2006-2007 NBA NBA Summer League Stats,Sharrod Ford,CLE,1,0,0,0,0,0,1,18,0,.174,0.1,0.2,0.8,3,2,.600,0.2,0.3,0.5
2006-2007 NBA NBA Summer League Stats,Al Jefferson,BOS,1,0,0,0,0,0,0,17,0,.141,0.7,0.4,0.6,3,2,.600,0.3,0.2,0.4
2006-2007 NBA NBA Summer League Stats,Kevin Martin,SAC,1,0,0,0,0,0,0,27,0,.231,0.4,0.1,1.3,3,1,.750,0.5,0.3,0.7
2006-2007 NBA NBA Summer League Stats,Pavel Podkolzin,DAL,1,0,0,0,0,0,0,20,0,.160,0.1,0.2,1.2,0,5,.000,0.2,0.1,0.2
2006-2007 NBA NBA Summer League Stats,Boniface Ndong,LAC,1,0,0,0,0,0,0,14,0,.209,0.8,0.3,0.4,2,3,.400,0.0,0.2,0.3
2006-2007 NBA NBA Summer League Stats,Andray Blatche,WAS,1,0,0,0,0,0,0,20,0,.278,0.2,0.2,0.4,0,5,.000,-0.2,0.3,0.1
2006-2007 NBA NBA Summer League Stats,Kevinn Pinkney,POR,1,0,0,0,0,0,0,14,0,.193,3.7,0.0,0.1,3,1,.750,0.3,0.1,0.4
2006-2007 NBA NBA Summer League Stats,Brandon Bass,NOP,1,0,0,0,0,0,0,14,0,.101,0.5,0.3,1.1,1,2,.333,-0.2,0.1,-0.1
2006-2007 NBA NBA Summer League Stats,Hilton Armstrong,NOP,1,0,0,0,0,0,0,20,0,.146,0.1,0.0,0.5,1,3,.250,0.1,0.0,0.2
2006-2007 NBA NBA Summer League Stats,Andrea Bargnani,TOR,1,0,0,0,0,0,0,21,0,.198,0.2,0.1,0.5,1,4,.200,0.0,0.1,0.2
2007-2008 NBA NBA Summer League Stats,Jelani McCoy,DEN,3,0,0,0,0,0,1,14,0,.149,0.8,0.6,0.7,3,2,.600,0.4,0.3,0.7
2007-2008 NBA NBA Summer League Stats,Justin Williams,SAC,3,0,0,0,0,0,0,17,0,.168,0.0,0.1,0.6,3,2,.600,-0.2,0.5,0.3
2007-2008 NBA NBA Summer League Stats,Randolph Morris,NYK,2,0,0,0,0,0,0,16,0,.115,0.1,0.2,1.0,4,0,1.000,0.2,0.2,0.4
2007-2008 NBA NBA Summer League Stats,Thaddeus Young,PHI,2,0,0,0,0,0,0,20,0,.197,0.3,0.5,0.1,3,2,.600,0.1,0.1,0.2
2007-2008 NBA NBA Summer League Stats,Paul Davis,LAC,2,0,0,0,0,0,0,18,0,.180,0.2,0.2,0.5,2,3,.400,0.0,0.2,0.2
2007-2008 NBA NBA Summer League Stats,Renaldo Balkman,NYK,1,0,0,0,0,1,0,19,0,.198,0.8,0.8,1.0,4,0,1.000,0.3,0.3,0.7
2007-2008 NBA NBA Summer League Stats,Rudy Gay,MEM,1,0,0,0,0,0,0,26,0,.265,1.0,0.8,0.5,2,3,.400,0.4,0.2,0.7
2007-2008 NBA NBA Summer League Stats,Nate Robinson,NYK,1,0,0,0,0,0,0,24,0,.351,1.6,0.3,0.7,4,0,1.000,0.7,0.2,0.8
2007-2008 NBA NBA Summer League Stats,Mike Harris,HOU,1,0,0,0,0,0,0,17,0,.167,0.4,0.0,0.7,4,1,.800,0.7,0.2,0.8
2007-2008 NBA NBA Summer League Stats,Wilson Chandler,NYK,1,0,0,0,0,0,0,17,0,.221,1.4,0.6,0.3,4,0,1.000,0.4,0.2,0.6
2007-2008 NBA NBA Summer League Stats,Corey Brewer,MIN,1,0,0,0,0,0,0,18,0,.212,0.8,0.2,0.4,4,1,.800,-0.2,0.3,0.2
2007-2008 NBA NBA Summer League Stats,Jordan Farmar,LAL,1,0,0,0,0,0,0,18,0,.262,1.7,0.5,0.6,2,3,.400,0.3,0.1,0.4
2007-2008 NBA NBA Summer League Stats,Lou Amundson,PHI,1,0,0,0,0,0,0,16,0,.108,0.3,0.1,1.0,2,2,.500,0.2,0.1,0.3
2007-2008 NBA NBA Summer League Stats,Julian Wright,NOP,1,0,0,0,0,0,0,14,0,.153,0.7,0.1,0.2,0,5,.000,0.0,0.0,0.0
2007-2008 NBA NBA Summer League Stats,Oleksiy Pecherov,WAS,1,0,0,0,0,0,0,26,0,.228,0.0,0.0,0.3,1,3,.250,0.2,0.2,0.4
2007-2008 NBA NBA Summer League Stats,Cheickh Samb,DET,1,0,0,0,0,0,0,12,0,.097,0.0,0.1,0.3,4,1,.800,0.2,0.1,0.3
