League,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
2005-2006 NBA NBA Summer League Stats,Sebastian Telfair,POR,6,193.0,112,32,82,.390,7,25,.280,41,53,.774,3,21,24,36,7,1,18,17
2005-2006 NBA NBA Summer League Stats,Travis Outlaw,POR,6,212.0,112,41,96,.427,1,5,.200,29,48,.604,2,36,38,9,6,6,16,14
2005-2006 NBA NBA Summer League Stats,J.R. Smith,NOP,5,164.0,103,35,81,.432,12,37,.324,21,33,.636,3,10,13,14,8,3,15,14
2005-2006 NBA NBA Summer League Stats,Chris Kaman,LAC,5,159.0,101,39,72,.542,0,1,.000,23,28,.821,12,31,43,1,2,8,22,22
2005-2006 NBA NBA Summer League Stats,Tony Allen,BOS,6,169.0,101,38,68,.559,1,2,.500,24,32,.750,6,17,23,6,11,2,19,23
2005-2006 NBA NBA Summer League Stats,Kevin Martin,SAC,5,196.0,97,33,70,.471,5,12,.417,26,31,.839,3,21,24,8,5,2,23,23
2005-2006 NBA NBA Summer League Stats,Ike Diogu,GSW,5,140.0,92,35,59,.593,0,0,.000,22,26,.846,16,26,42,1,0,3,12,27
2005-2006 NBA NBA Summer League Stats,Luis Flores,DEN,6,147.0,92,32,69,.464,3,10,.300,25,32,.781,4,14,18,5,8,1,13,13
2005-2006 NBA NBA Summer League Stats,Linas Kleiza,DEN,6,164.0,91,33,61,.541,0,2,.000,25,29,.862,11,26,37,7,6,1,14,28
2005-2006 NBA NBA Summer League Stats,Nate Robinson,NYK,5,133.0,89,28,61,.459,7,15,.467,26,33,.788,5,13,18,10,7,0,16,16
2005-2006 NBA NBA Summer League Stats,Antoine Wright,NJN,5,175.0,82,27,75,.360,4,14,.286,24,37,.649,9,5,14,9,4,1,16,18
2005-2006 NBA NBA Summer League Stats,Julius Hodge,DEN,6,198.0,80,28,64,.438,2,11,.182,22,35,.629,10,25,35,23,5,3,15,16
2005-2006 NBA NBA Summer League Stats,Monta Ellis,GSW,5,156.0,79,27,70,.386,10,25,.400,15,24,.625,3,12,15,13,5,0,18,18
2005-2006 NBA NBA Summer League Stats,Dwight Howard,ORL,4,99.0,76,30,47,.638,0,0,.000,16,25,.640,15,15,30,3,3,6,12,23
2005-2006 NBA NBA Summer League Stats,Donell Taylor,WAS,6,159.0,76,27,47,.574,2,6,.333,20,27,.741,8,7,15,3,8,2,16,18
